phase,phase_name,check,status,observed,expected,notes
2,phase2_chicago_nsensitivity,per_draw_parquet_files,pass,0,800,Per-draw files are omitted from the GitHub package; retained seeds and compact summaries are sufficient for manuscript outputs.
2,phase2_chicago_nsensitivity,all_draw_summaries_parquet,pass,omitted from GitHub package,compact summaries retained,"Large draw-level aggregate omitted; manuscript-facing summaries, plots, and seeds are retained."
2,phase2_chicago_nsensitivity,file_exists:aggregated/headline_numbers.csv,pass,True,True,
2,phase2_chicago_nsensitivity,file_exists:aggregated/period_mdape_envelope.csv,pass,True,True,
2,phase2_chicago_nsensitivity,file_exists:aggregated/period_absolute_error_envelope.csv,pass,True,True,
2,phase2_chicago_nsensitivity,file_exists:config/selected_sensor_subsets_long.csv,pass,True,True,
2,phase2_chicago_nsensitivity,file_exists:phase2_summary.md,pass,True,True,
2,phase2_chicago_nsensitivity,file_exists:aggregated/daily_mdape_envelope.csv,pass,True,True,
2,phase2_chicago_nsensitivity,file_exists:aggregated/daily_absolute_error_envelope.csv,pass,True,True,
2,phase2_chicago_nsensitivity,pdf_plot_count,pass,3,>=1,
3,phase3_lucknow_downsampling,master_seed,pass,20260528,20260528,
3,phase3_lucknow_downsampling,inner_draws,pass,10000,10000,
3,phase3_lucknow_downsampling,outer_seed_rows,pass,500,500,
3,phase3_lucknow_downsampling,target_N_star_values,pass,"[31, 40, 50, 60, 71]","[31, 40, 50, 60, 71]",
3,phase3_lucknow_downsampling,selected_sensor_count_matches_target,pass,True,True,
3,phase3_lucknow_downsampling,per_draw_parquet_files,pass,0,500,Per-draw files are omitted from the GitHub package; retained seeds and compact summaries are sufficient for manuscript outputs.
3,phase3_lucknow_downsampling,all_draw_summaries_parquet,pass,omitted from GitHub package,compact summaries retained,"Large draw-level aggregate omitted; manuscript-facing summaries, plots, seeds, and compact N*=50 Lucknow draw table are retained."
3,phase3_lucknow_downsampling,file_exists:aggregated/headline_numbers.csv,pass,True,True,
3,phase3_lucknow_downsampling,file_exists:aggregated/period_mdape_envelope.csv,pass,True,True,
3,phase3_lucknow_downsampling,file_exists:aggregated/period_absolute_error_envelope.csv,pass,True,True,
3,phase3_lucknow_downsampling,file_exists:config/selected_sensor_subsets_long.csv,pass,True,True,
3,phase3_lucknow_downsampling,file_exists:phase3_summary.md,pass,True,True,
3,phase3_lucknow_downsampling,file_exists:aggregated/daily_mdape_envelope.csv,pass,True,True,
3,phase3_lucknow_downsampling,file_exists:aggregated/daily_absolute_error_envelope.csv,pass,True,True,
3,phase3_lucknow_downsampling,file_exists:aggregated/selected_reference_draw_summaries_n50.parquet,pass,True,True,
3,phase3_lucknow_downsampling,pdf_plot_count,pass,5,>=1,
4,phase4_chicago_selection_strategies,master_seed,pass,20260528,20260528,
4,phase4_chicago_selection_strategies,inner_draws,pass,10000,10000,
4,phase4_chicago_selection_strategies,outer_seed_rows,pass,630,630,
4,phase4_chicago_selection_strategies,target_N_star_values,pass,"[30, 50, 70]","[30, 50, 70]",
4,phase4_chicago_selection_strategies,selected_sensor_count_matches_target,pass,True,True,
4,phase4_chicago_selection_strategies,per_draw_parquet_files,pass,0,630,Per-draw files are omitted from the GitHub package; retained seeds and compact summaries are sufficient for manuscript outputs.
4,phase4_chicago_selection_strategies,all_draw_time_aggregations,pass,['period'],period only,Phase 4 daily strategy outputs are stored separately by design.
4,phase4_chicago_selection_strategies,all_draw_rows,pass,18270,nonzero,
4,phase4_chicago_selection_strategies,file_exists:aggregated/headline_numbers.csv,pass,True,True,
4,phase4_chicago_selection_strategies,file_exists:aggregated/period_strategy_envelope.csv,pass,True,True,
4,phase4_chicago_selection_strategies,file_exists:aggregated/period_strategy_absolute_error_envelope.csv,pass,True,True,
4,phase4_chicago_selection_strategies,file_exists:config/selected_sensor_subsets_long.csv,pass,True,True,
4,phase4_chicago_selection_strategies,file_exists:phase4_summary.md,pass,True,True,
4,phase4_chicago_selection_strategies,file_exists:aggregated/daily_strategy_summary_n50.csv,pass,True,True,
4,phase4_chicago_selection_strategies,file_exists:aggregated/daily_strategy_full_reference_summary_n50.csv,pass,True,True,
4,phase4_chicago_selection_strategies,pdf_plot_count,pass,10,>=1,
dual,dual_reference_monte_carlo,dual_reference_join_rows,pass,270320,270320,Each retained row has selected-reference and full-network-reference metrics for the same selected subset and sample draw seed.
dual,dual_reference_monte_carlo,selected_reference_rows_without_full_target,pass,19530,allowed,Selected-reference daily rows can exceed the full-reference table when no full-network daily target is available for a date.
dual,dual_reference_monte_carlo,dual_reference_run_keys,pass,"['chicago_phase4_strategy_n50', 'lucknow_phase3_random_n50']","['chicago_phase4_strategy_n50', 'lucknow_phase3_random_n50']",
