phase,target_N_star,selection_strategy,selection_strategy_label,outer_seed_index,outer_seed_value,inner_seed_value,selected_sensor_ids,selected_sensor_count,selected_sensor_set_hash
4,30,anti_cluster,Anti-cluster,10,2450930955,4197020121,"[""DACZY2913"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DIIPF3878"", ""DJHFB1439"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMLFU0523"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,2949ebcc99a1f9e1
4,30,anti_cluster,Anti-cluster,11,2431055977,428346577,"[""DACZY2913"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFIBC1899"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHIBT9527"", ""DHWLS6819"", ""DJHFB1439"", ""DJKZD4256"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,44bbd4df35c18190
4,30,anti_cluster,Anti-cluster,12,3695898704,279444641,"[""DACZY2913"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DIIPF3878"", ""DJHFB1439"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRRDD3500"", ""DSKDX3738"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,fa0897e023bcd1ff
4,30,anti_cluster,Anti-cluster,13,1138421080,2971557798,"[""DACZY2913"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFIBC1899"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DJHFB1439"", ""DJKZD4256"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DMYFE2499"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,b408923a9128bb72
4,30,anti_cluster,Anti-cluster,14,435419332,3138233591,"[""DACZY2913"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DJHFB1439"", ""DJKZD4256"", ""DKIJX6114"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,61bca703cda541c4
4,30,anti_cluster,Anti-cluster,15,2094916783,2414226368,"[""DACZY2913"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DIIPF3878"", ""DJHFB1439"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZBKX0961"", ""DZFFW4078""]",30,845a8734adfff828
4,30,anti_cluster,Anti-cluster,16,3596405193,2854083510,"[""DACZY2913"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DIIPF3878"", ""DIWKR9442"", ""DJHFB1439"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,eb62847c2351c400
4,30,anti_cluster,Anti-cluster,17,2960168669,1477688819,"[""DACZY2913"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DGZUS1041"", ""DHWLS6819"", ""DIIPF3878"", ""DJHFB1439"", ""DJKZD4256"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,fb0c3066f37847f0
4,30,anti_cluster,Anti-cluster,18,2066817616,793458660,"[""DACZY2913"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DJHFB1439"", ""DJKZD4256"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DUUZN2841"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,90da8656d474a8e1
4,30,anti_cluster,Anti-cluster,19,218086872,432334425,"[""DACZY2913"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFEAJ0038"", ""DFNBI6922"", ""DGDNA0617"", ""DGRCH4426"", ""DHWLS6819"", ""DIIPF3878"", ""DJKZD4256"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMIYV7889"", ""DMMAG3845"", ""DMMRS6981"", ""DMSGP0807"", ""DPPCP3370"", ""DQTUI1287"", ""DRJPX9457"", ""DRRDD3500"", ""DSZQR8376"", ""DTYDP5264"", ""DWBTT8209"", ""DWCTD3003"", ""DXHYE9278"", ""DYGHJ0891"", ""DYRMT9480"", ""DZFFW4078""]",30,218d289622e7b05b
4,30,circumferential,Circumferential,0,2676362452,3690403235,"[""DACZY2913"", ""DAUPG9028"", ""DBIZF0451"", ""DCIJQ7018"", ""DCYXM8877"", ""DEJMD2536"", ""DERZJ4600"", ""DEYGE9157"", ""DFEAJ0038"", ""DFIBC1899"", ""DGTDZ6242"", ""DHNQG0980"", ""DHUBD2135"", ""DHWLS6819"", ""DIFIV9884"", ""DITUY8368"", ""DIWYY0447"", ""DKIJX6114"", ""DMAEX1156"", ""DMLRY2750"", ""DPPCP3370"", ""DQZEA3135"", ""DRCQU4244"", ""DRCSL7614"", ""DRJPX9457"", ""DRRDD3500"", ""DUXLQ7589"", ""DWCTD3003"", ""DYRMT9480"", ""DZFFW4078""]",30,32c7f75f6072858c
4,30,circumferential,Circumferential,1,2064396324,193702856,"[""DACZY2913"", ""DBIZF0451"", ""DBYCW6873"", ""DDCVA2276"", ""DERZJ4600"", ""DEYGE9157"", ""DGDNA0617"", ""DGRCH4426"", ""DHJUH1119"", ""DHWLS6819"", ""DIIPF3878"", ""DIZEF3591"", ""DJKZD4256"", ""DKIJX6114"", ""DKTWP2892"", ""DLIKU5639"", ""DMAEX1156"", ""DMIYV7889"", ""DMSGP0807"", ""DPPCP3370"", ""DQABT4506"", ""DQZEA3135"", ""DSZQR8376"", ""DUNKA8014"", ""DUSKD5383"", ""DUXLQ7589"", ""DXHCB5919"", ""DXHYE9278"", ""DZFFW4078"", ""DZKWB0839""]",30,7116a838634fab33
4,30,circumferential,Circumferential,2,1089849363,3218074952,"[""DACZY2913"", ""DAJHM7956"", ""DAUPG9028"", ""DBYCW6873"", ""DCIJQ7018"", ""DCQTB2627"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DGRCH4426"", ""DGTGR9009"", ""DHWLS6819"", ""DIIPF3878"", ""DJJVG1917"", ""DJKZD4256"", ""DKIJX6114"", ""DKRXT7147"", ""DKUAZ4434"", ""DMIYV7889"", ""DPBXQ5234"", ""DQABT4506"", ""DQTUI1287"", ""DRCQU4244"", ""DRJPX9457"", ""DTFVD6048"", ""DTYDP5264"", ""DXHYE9278"", ""DXWXZ1902"", ""DYRMT9480"", ""DZKWB0839""]",30,b2871aba4aa1aa8d
4,30,circumferential,Circumferential,3,4292007088,2112110008,"[""DBIZF0451"", ""DCIJQ7018"", ""DCYXM8877"", ""DDCVA2276"", ""DEYGE9157"", ""DFIBC1899"", ""DGTDZ6242"", ""DGTGR9009"", ""DHWLS6819"", ""DIFIV9884"", ""DIIPF3878"", ""DJHFB1439"", ""DKIJX6114"", ""DKTWP2892"", ""DMIYV7889"", ""DMSGP0807"", ""DNCCJ5144"", ""DQABT4506"", ""DQJDZ1252"", ""DQJVA6225"", ""DQZEA3135"", ""DRCQU4244"", ""DRJPX9457"", ""DSZQR8376"", ""DUNKA8014"", ""DUXLQ7589"", ""DWCTD3003"", ""DXHCB5919"", ""DXWXZ1902"", ""DZFFW4078""]",30,3b45018b554b0f74
4,30,circumferential,Circumferential,4,4002947954,1904028391,"[""DAJHM7956"", ""DCIJQ7018"", ""DCYXM8877"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DEYGE9157"", ""DFEAJ0038"", ""DFIBC1899"", ""DFIRX1818"", ""DGRCH4426"", ""DGTDZ6242"", ""DHNQG0980"", ""DHUBD2135"", ""DIFIV9884"", ""DJKZD4256"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMLRY2750"", ""DMMAG3845"", ""DPPCP3370"", ""DQABT4506"", ""DQTUI1287"", ""DRCQU4244"", ""DRRDD3500"", ""DTFVD6048"", ""DUIZW8642"", ""DWCTD3003"", ""DYRMT9480""]",30,f88c10cd774cc945
4,30,circumferential,Circumferential,5,1156869151,3892333864,"[""DACZY2913"", ""DAUPG9028"", ""DCQTB2627"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DEYGE9157"", ""DFEAJ0038"", ""DFIBC1899"", ""DGDNA0617"", ""DGTGR9009"", ""DKIJX6114"", ""DLIKU5639"", ""DMAEX1156"", ""DMLRY2750"", ""DMSGP0807"", ""DPBXQ5234"", ""DPMHQ8304"", ""DQJDZ1252"", ""DQTUI1287"", ""DRCSL7614"", ""DRHPF2920"", ""DRUBP9408"", ""DSZQR8376"", ""DTYDP5264"", ""DUXLQ7589"", ""DWBTT8209"", ""DXHCB5919"", ""DXHYE9278"", ""DYRMT9480""]",30,a9cfabf6dcaa4b8b
4,30,circumferential,Circumferential,6,279387854,862165956,"[""DAUPG9028"", ""DCHTB8281"", ""DCIJQ7018"", ""DEJMD2536"", ""DERZJ4600"", ""DEYGE9157"", ""DFEAJ0038"", ""DFRKF1779"", ""DGTDZ6242"", ""DGTGR9009"", ""DGZUS1041"", ""DHWLS6819"", ""DIIPF3878"", ""DITUY8368"", ""DIWYY0447"", ""DMIYV7889"", ""DMLRY2750"", ""DMMAG3845"", ""DPMHQ8304"", ""DQZEA3135"", ""DRCQU4244"", ""DTFVD6048"", ""DTYDP5264"", ""DUNKA8014"", ""DUSKD5383"", ""DUXLQ7589"", ""DWBTT8209"", ""DWCTD3003"", ""DXHCB5919"", ""DZFFW4078""]",30,be98beadf2c60379
4,30,circumferential,Circumferential,7,3142110603,1434712711,"[""DACZY2913"", ""DBIZF0451"", ""DBYCW6873"", ""DCHTB8281"", ""DCQTB2627"", ""DDCVA2276"", ""DFEAJ0038"", ""DFIBC1899"", ""DGTDZ6242"", ""DGTGR9009"", ""DHJUH1119"", ""DIFIV9884"", ""DIIPF3878"", ""DITUY8368"", ""DJKZD4256"", ""DMMAG3845"", ""DNCCJ5144"", ""DPMHQ8304"", ""DPPCP3370"", ""DQABT4506"", ""DQZEA3135"", ""DRCQU4244"", ""DRHPF2920"", ""DRRDD3500"", ""DTYDP5264"", ""DUIZW8642"", ""DUSKD5383"", ""DWBTT8209"", ""DXWXZ1902"", ""DZKWB0839""]",30,178815a91b2a6afe
4,30,circumferential,Circumferential,8,673307382,2660647593,"[""DAUPG9028"", ""DBYCW6873"", ""DCIJQ7018"", ""DCQTB2627"", ""DFIBC1899"", ""DFIRX1818"", ""DGDNA0617"", ""DGZUS1041"", ""DHJUH1119"", ""DHUBD2135"", ""DHWLS6819"", ""DIFIV9884"", ""DIIPF3878"", ""DJJVG1917"", ""DJKZD4256"", ""DKIJX6114"", ""DNCCJ5144"", ""DPMHQ8304"", ""DQJDZ1252"", ""DQTUI1287"", ""DRCSL7614"", ""DRHPF2920"", ""DRJPX9457"", ""DTFVD6048"", ""DUIZW8642"", ""DUNKA8014"", ""DUSKD5383"", ""DWBTT8209"", ""DWCTD3003"", ""DZFFW4078""]",30,f48ff19085f1d00b
4,30,circumferential,Circumferential,9,3140010165,639859258,"[""DAJHM7956"", ""DAUPG9028"", ""DBIZF0451"", ""DEJMD2536"", ""DEYGE9157"", ""DFEAJ0038"", ""DFIBC1899"", ""DFIRX1818"", ""DGRCH4426"", ""DGTDZ6242"", ""DHUBD2135"", ""DJHFB1439"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMMAG3845"", ""DPMHQ8304"", ""DQABT4506"", ""DQTUI1287"", ""DRCSL7614"", ""DRHPF2920"", ""DRJPX9457"", ""DRUBP9408"", ""DTFVD6048"", ""DTYDP5264"", ""DUXLQ7589"", ""DWCTD3003"", ""DXHCB5919"", ""DXHYE9278"", ""DZKWB0839""]",30,4b69283e30077b89
4,30,circumferential,Circumferential,10,1483824004,3258493815,"[""DAUPG9028"", ""DBYCW6873"", ""DCIJQ7018"", ""DCQTB2627"", ""DEYGE9157"", ""DGTGR9009"", ""DGZUS1041"", ""DHUBD2135"", ""DIFIV9884"", ""DITUY8368"", ""DIZEF3591"", ""DKRXT7147"", ""DKTWP2892"", ""DMIYV7889"", ""DNCCJ5144"", ""DPBXQ5234"", ""DQJVA6225"", ""DRHPF2920"", ""DRJPX9457"", ""DRUBP9408"", ""DSZQR8376"", ""DTFVD6048"", ""DUIZW8642"", ""DUNKA8014"", ""DUSKD5383"", ""DWCTD3003"", ""DXHYE9278"", ""DXWXZ1902"", ""DYRMT9480"", ""DZKWB0839""]",30,1e3c97686900b29a
4,30,circumferential,Circumferential,11,3460876587,2102859122,"[""DAUPG9028"", ""DBIZF0451"", ""DCIJQ7018"", ""DCQTB2627"", ""DDCVA2276"", ""DERZJ4600"", ""DEYGE9157"", ""DFEAJ0038"", ""DFIBC1899"", ""DFRKF1779"", ""DGRCH4426"", ""DGTDZ6242"", ""DGTGR9009"", ""DJHFB1439"", ""DJJVG1917"", ""DJKZD4256"", ""DKTWP2892"", ""DKUAZ4434"", ""DLIKU5639"", ""DMAEX1156"", ""DMIYV7889"", ""DPBXQ5234"", ""DPPCP3370"", ""DQABT4506"", ""DQJDZ1252"", ""DRRDD3500"", ""DSZQR8376"", ""DUNKA8014"", ""DXWXZ1902"", ""DZFFW4078""]",30,11dc96c0d8a70229
4,30,circumferential,Circumferential,12,1082261793,3887883310,"[""DAJHM7956"", ""DBIZF0451"", ""DCQTB2627"", ""DCYXM8877"", ""DDCVA2276"", ""DFEAJ0038"", ""DFIBC1899"", ""DGTDZ6242"", ""DHNQG0980"", ""DHUBD2135"", ""DHWLS6819"", ""DIFIV9884"", ""DITUY8368"", ""DIWYY0447"", ""DIZEF3591"", ""DJHFB1439"", ""DLIKU5639"", ""DMAEX1156"", ""DMIYV7889"", ""DMLRY2750"", ""DPPCP3370"", ""DQABT4506"", ""DQJDZ1252"", ""DRHPF2920"", ""DSZQR8376"", ""DUSKD5383"", ""DUXLQ7589"", ""DWBTT8209"", ""DXWXZ1902"", ""DYRMT9480""]",30,98981f1a1defdb2f
4,30,circumferential,Circumferential,13,3261825684,2630204795,"[""DAUPG9028"", ""DBIZF0451"", ""DCHTB8281"", ""DDCVA2276"", ""DEJMD2536"", ""DERZJ4600"", ""DFRKF1779"", ""DGDNA0617"", ""DGRCH4426"", ""DGTGR9009"", ""DGZUS1041"", ""DHUBD2135"", ""DIZEF3591"", ""DJJVG1917"", ""DKTWP2892"", ""DKUAZ4434"", ""DMMAG3845"", ""DMMRS6981"", ""DPMHQ8304"", ""DPPCP3370"", ""DQJDZ1252"", ""DQJVA6225"", ""DQZEA3135"", ""DRCSL7614"", ""DTFVD6048"", ""DUIZW8642"", ""DUNKA8014"", ""DWBTT8209"", ""DXHCB5919"", ""DXHYE9278""]",30,fa2ab2c340822227
4,30,circumferential,Circumferential,14,177613102,314547076,"[""DACZY2913"", ""DBIZF0451"", ""DBYCW6873"", ""DCQTB2627"", ""DERZJ4600"", ""DFRKF1779"", ""DGRCH4426"", ""DHWLS6819"", ""DIFIV9884"", ""DITUY8368"", ""DJHFB1439"", ""DJKZD4256"", ""DKTWP2892"", ""DMAEX1156"", ""DMLRY2750"", ""DPBXQ5234"", ""DPMHQ8304"", ""DPPCP3370"", ""DQJDZ1252"", ""DQJVA6225"", ""DQZEA3135"", ""DRCSL7614"", ""DRHPF2920"", ""DSZQR8376"", ""DUIZW8642"", ""DUNKA8014"", ""DUXLQ7589"", ""DWCTD3003"", ""DYRMT9480"", ""DZKWB0839""]",30,fef005a2f7f8a9ac
4,30,circumferential,Circumferential,15,2953580281,1918148494,"[""DAJHM7956"", ""DAUPG9028"", ""DBIZF0451"", ""DCHTB8281"", ""DCIJQ7018"", ""DCQTB2627"", ""DEJMD2536"", ""DERZJ4600"", ""DGDNA0617"", ""DGRCH4426"", ""DGTDZ6242"", ""DGZUS1041"", ""DHUBD2135"", ""DHWLS6819"", ""DJJVG1917"", ""DKIJX6114"", ""DMAEX1156"", ""DMIYV7889"", ""DMMAG3845"", ""DMSGP0807"", ""DPBXQ5234"", ""DQTUI1287"", ""DQZEA3135"", ""DRJPX9457"", ""DRRDD3500"", ""DRUBP9408"", ""DTFVD6048"", ""DTYDP5264"", ""DXHYE9278"", ""DZKWB0839""]",30,df9b74b3c9310746
